UNITID,INSTNM,Snippet,Motto
120883,University of the Pacific,"University of the Pacific may refer to:
",N/A
121150,Pepperdine University,"
","Freely ye received, freely give"
121257,Pitzer College,"Pitzer College is a private residential liberal arts college in Claremont, California. One of the Claremont Colleges, the college has a curricular emphasis on the social sciences, behavioral sciences, international programs, and media studies.[4]
",N/A
121309,Point Loma Nazarene University,"Point Loma Nazarene University (PLNU) is a private Christian liberal arts college with its main campus on the Point Loma oceanfront in San Diego, California. It was founded in 1902 as a Bible college by the Church of the Nazarene.
",N/A
121345,Pomona College,"
",N/A
121691,University of Redlands,"
",N/A
122296,Samuel Merritt University,"Coordinates: 37°49′15.53″N 122°15′49.56″W﻿ / ﻿37.8209806°N 122.2637667°W﻿ / 37.8209806; -122.2637667
",Potissimus Optimus
122409,San Diego State University,"San Diego State University (SDSU) is a public research university in San Diego, California. Founded in 1897 as San Diego Normal School, it is the third-oldest university in the 23-member California State University (CSU) system. SDSU has a Fall 2018 student body of 34,828 and an alumni base of more than 280,000.[9]
",Leadership Starts Here
122436,University of San Diego,"
",Emitte Spiritum Tuum (Latin)
122454,San Francisco Art Institute,"San Francisco Art Institute (SFAI) is a private college of contemporary art in San Francisco, California.  Founded in 1871, SFAI is one of the oldest art schools in the United States and the oldest west of the Mississippi River. Approximately 400 undergraduates and 200 graduate students are enrolled.[2] The institution is accredited by the Western Association of Schools and Colleges (WASC) and the National Association of Schools of Art and Design (NASAD), and is a member of the Association of Independent Colleges of Art and Design (AICAD).
",N/A
122506,San Francisco Conservatory of Music,"The San Francisco Conservatory of Music (SFCM) is a private music school in San Francisco, California. About 400 undergraduate and graduate students are enrolled at the school which also includes a Pre-College Division for young musicians.
",N/A
122597,San Francisco State University,"
",Experientia Docet (Latin)
122612,University of San Francisco,"The University of San Francisco (USF) is a Jesuit university in San Francisco, California. The school's main campus is located on a 55-acre (22 ha) setting between the Golden Gate Bridge and Golden Gate Park. The main campus is nicknamed ""The Hilltop"", and part of the main campus is located on Lone Mountain, one of San Francisco's major geographical features.  Its close historical ties with the City and County of San Francisco are reflected in the University's traditional motto, Pro Urbe et Universitate (For the City and University).
",Traditional: Pro Urbe et Universitate (Latin)
122728,William Jessup University,"William Jessup University is a Christian liberal arts university located in  Rocklin, California with an additional site in San Jose, California. The university had 1280 students during the 2011-12 academic year, 942 being full-time equivalents. William Jessup University is a private institution that was founded in 1939. It has a total undergraduate enrollment of 1,204, its setting is suburban, and the campus size is 126 acres. It utilizes a semester-based academic calendar. [3]
",Transforming Tomorrow Today
122755,San Jose State University,"
",Powering Silicon Valley
122931,Santa Clara University,"Santa Clara University (also referred to as Santa Clara) is a private Jesuit university in Santa Clara, California. It has 5,499 full-time undergraduate students and 3,130 graduate students. Founded in 1851, Santa Clara University is the oldest operating institution of higher learning in California and the west coast of the United States[5] and has remained in its original location for 168 years. The university's campus surrounds the historic Mission Santa Clara de Asis which traces its founding to 1776. The campus mirrors the Mission's architectural style and provides a fine early example of Mission Revival architecture. The university is classified as a ""Doctoral/Professional"" university by Carnegie Classification.[6]
",Ad Majorem Dei Gloriam (Latin)
123165,Scripps College,"Scripps College is a private liberal arts women's college  in Claremont, California. Founded in 1926, it had an enrollment of 989 students as of 2017.[7] It is a member of the Claremont Colleges and is known for its historic campus and extensive core curriculum.
",N/A
123280,Shasta Bible College and Graduate School,"Shasta Bible College and Graduate School (SBC&GS) is a private Baptist college and graduate school in Redding, California. It is accredited by the Transnational Association of Christian Colleges and Schools (TRACS). SBC&GS has online and on-campus programs leading to certificates, diplomas and degrees in both Biblical Studies and Christian Teacher Education, and both undergraduate and graduate degrees. SBC is known for its emphasis in Bible study and interpretation, Biblical languages, evangelism, apologetics, theology, and Christian Teacher Education and School Administration. Shasta Bible College is uniquely known for offering a course on how to memorize the Bible taught by Professor Tom Meyer.
",N/A
